File Name,Model,K*,Time
david.col,GraphColoringAssignment,11,0.5924758911132812
david.col,GraphColoringMixedPartialOrder,11,0.8692960739135742
anna.col,GraphColoringAssignment,11,1.127614974975586
anna.col,GraphColoringMixedPartialOrder,11,1.3920416831970215
games120.col,GraphColoringAssignment,9,0.7674040794372559
3-FullIns_3.col,GraphColoringMixedPartialOrder,6,2.1699371337890625
3-FullIns_3.col,GraphColoringAssignment,6,2.187396764755249
huck.col,GraphColoringAssignment,11,0.33002424240112305
games120.col,GraphColoringMixedPartialOrder,9,1.2693605422973633
4-FullIns_3.col,GraphColoringMixedPartialOrder,7,2.708249568939209
jean.col,GraphColoringAssignment,10,0.6963448524475098
huck.col,GraphColoringMixedPartialOrder,11,0.8715217113494873
jean.col,GraphColoringMixedPartialOrder,10,0.788801908493042
1-FullIns_4.col,GraphColoringMixedPartialOrder,5,3.44852352142334
miles250.col,GraphColoringAssignment,8,1.153355598449707
4-FullIns_3.col,GraphColoringAssignment,7,3.801210641860962
miles250.col,GraphColoringMixedPartialOrder,8,1.3993339538574219
myciel3.col,GraphColoringAssignment,4,0.11390423774719238
5-FullIns_3.col,GraphColoringMixedPartialOrder,8,4.22585654258728
5-FullIns_3.col,GraphColoringAssignment,8,4.559453964233398
1-FullIns_4.col,GraphColoringAssignment,5,6.169374942779541
myciel3.col,GraphColoringMixedPartialOrder,4,1.855156421661377
miles500.col,GraphColoringAssignment,20,4.703454971313477
mug100_1.col,GraphColoringMixedPartialOrder,4,4.212496757507324
queen5_5.col,GraphColoringAssignment,5,0.4434163570404053
queen5_5.col,GraphColoringMixedPartialOrder,5,0.46029138565063477
myciel4.col,GraphColoringMixedPartialOrder,5,4.407947540283203
myciel4.col,GraphColoringAssignment,5,5.22971510887146
mug100_25.col,GraphColoringMixedPartialOrder,4,6.7773683071136475
DSJC125.1.col,GraphColoringMixedPartialOrder,5,10.642254114151001
miles500.col,GraphColoringMixedPartialOrder,20,9.106101751327515
mug100_1.col,GraphColoringAssignment,4,9.547138452529907
mug100_25.col,GraphColoringAssignment,4,10.14066481590271
queen7_7.col,GraphColoringMixedPartialOrder,7,4.634905815124512
queen7_7.col,GraphColoringAssignment,7,5.625740051269531
4-Insertions_3.col,GraphColoringMixedPartialOrder,4,14.649616956710815
queen6_6.col,GraphColoringMixedPartialOrder,7,6.562187910079956
queen6_6.col,GraphColoringAssignment,7,6.77080774307251
DSJC125.1.col,GraphColoringAssignment,5,18.567803621292114
2-FullIns_4.col,GraphColoringMixedPartialOrder,6,27.606373071670532
4-Insertions_3.col,GraphColoringAssignment,4,28.555482625961304
myciel5.col,GraphColoringAssignment,6,23.34774160385132
myciel5.col,GraphColoringMixedPartialOrder,6,25.231142044067383
queen8_12.col,GraphColoringAssignment,12,20.665530681610107
queen8_12.col,GraphColoringMixedPartialOrder,12,19.821164846420288
queen8_8.col,GraphColoringAssignment,9,27.99336576461792
2-FullIns_4.col,GraphColoringAssignment,6,45.97423481941223
queen8_8.col,GraphColoringMixedPartialOrder,9,115.69554018974304
