File Name,Model,K*,Time
homer.col,GraphColoringAssignment,tl,2.515004873275757
homer.col,GraphColoringMixedPartialOrder,tl,5.519616365432739
miles750.col,GraphColoringAssignment,31,19.150203704833984
miles750.col,GraphColoringMixedPartialOrder,31,46.31077814102173
miles1000.col,GraphColoringAssignment,42,101.79709649085999
3-FullIns_4.col,GraphColoringAssignment,7,109.74103689193726
mulsol.i.1.col,GraphColoringAssignment,49,113.87169528007507
fpsol2.i.2.col,GraphColoringAssignment,30,233.39976501464844
3-FullIns_4.col,GraphColoringMixedPartialOrder,7,146.459490776062
mulsol.i.2.col,GraphColoringAssignment,31,24.646403312683105
mulsol.i.2.col,GraphColoringMixedPartialOrder,31,38.95390272140503
mulsol.i.3.col,GraphColoringAssignment,31,27.38435697555542
fpsol2.i.3.col,GraphColoringAssignment,30,360.80707836151123
mulsol.i.1.col,GraphColoringMixedPartialOrder,49,197.00242638587952
mulsol.i.3.col,GraphColoringMixedPartialOrder,31,45.46108865737915
le450_25a.col,GraphColoringAssignment,25,394.0491168498993
mulsol.i.4.col,GraphColoringAssignment,31,14.928219079971313
mulsol.i.5.col,GraphColoringAssignment,31,17.37153911590576
mulsol.i.4.col,GraphColoringMixedPartialOrder,31,35.682480812072754
miles1000.col,GraphColoringMixedPartialOrder,42,347.2634198665619
mulsol.i.5.col,GraphColoringMixedPartialOrder,31,41.80191683769226
le450_25b.col,GraphColoringAssignment,25,544.7911458015442
fpsol2.i.2.col,GraphColoringMixedPartialOrder,30,318.4822151660919
fpsol2.i.3.col,GraphColoringMixedPartialOrder,30,336.4048662185669
le450_25b.col,GraphColoringMixedPartialOrder,25,815.7937171459198
le450_5a.col,GraphColoringAssignment,5,1972.243267774582
le450_25a.col,GraphColoringMixedPartialOrder,25,1779.4347553253174
DSJC250.1.col,GraphColoringAssignment,tl,3603.8250975608826
DSJC125.5.col,GraphColoringAssignment,tl,3604.010038137436
le450_5b.col,GraphColoringAssignment,tl,3604.8460302352905
1-FullIns_5.col,GraphColoringAssignment,tl,3606.470281600952
le450_15b.col,GraphColoringAssignment,tl,3607.2604093551636
le450_15a.col,GraphColoringAssignment,tl,3608.3873970508575
DSJC125.9.col,GraphColoringAssignment,tl,3608.4263978004456
4-FullIns_4.col,GraphColoringAssignment,tl,3610.373076915741
myciel6.col,GraphColoringAssignment,tl,3609.6732683181763
myciel7.col,GraphColoringAssignment,tl,3606.7702298164368
queen10_10.col,GraphColoringAssignment,tl,3610.1211619377136
queen11_11.col,GraphColoringAssignment,tl,3613.3562853336334
queen12_12.col,GraphColoringAssignment,tl,3613.783917427063
4-FullIns_4.col,GraphColoringMixedPartialOrder,8,852.046689748764
queen13_13.col,GraphColoringAssignment,tl,3612.8333966732025
le450_5a.col,GraphColoringMixedPartialOrder,tl,3619.4020462036133
zeroin.i.1.col,GraphColoringAssignment,49,73.63899207115173
zeroin.i.1.col,GraphColoringMixedPartialOrder,49,117.24430990219116
queen14_14.col,GraphColoringAssignment,tl,3619.74063873291
zeroin.i.2.col,GraphColoringAssignment,30,41.061720848083496
zeroin.i.2.col,GraphColoringMixedPartialOrder,30,67.4057366847992
zeroin.i.3.col,GraphColoringAssignment,30,37.613009452819824
zeroin.i.3.col,GraphColoringMixedPartialOrder,30,73.1644639968872
queen9_9.col,GraphColoringAssignment,10,2657.311602830887
DSJC125.5.col,GraphColoringMixedPartialOrder,tl,3609.267117500305
DSJC250.1.col,GraphColoringMixedPartialOrder,tl,3613.1056728363037
1-FullIns_5.col,GraphColoringMixedPartialOrder,tl,3617.2880613803864
le450_15b.col,GraphColoringMixedPartialOrder,tl,3616.0793249607086
le450_5b.col,GraphColoringMixedPartialOrder,tl,3622.2132546901703
le450_15a.col,GraphColoringMixedPartialOrder,tl,3650.0053703784943
myciel7.col,GraphColoringMixedPartialOrder,tl,3609.4476203918457
myciel6.col,GraphColoringMixedPartialOrder,tl,3607.9939460754395
queen10_10.col,GraphColoringMixedPartialOrder,tl,3608.6053268909454
queen11_11.col,GraphColoringMixedPartialOrder,tl,3608.9307239055634
queen12_12.col,GraphColoringMixedPartialOrder,tl,3611.9047803878784
queen13_13.col,GraphColoringMixedPartialOrder,tl,3615.08296251297
queen14_14.col,GraphColoringMixedPartialOrder,tl,3624.4010384082794
queen9_9.col,GraphColoringMixedPartialOrder,tl,3604.045346260071
